timeline,q,cap,K,period,pattern,victim,max_elapsed,argmax_session,c_actual,within_cap,violation_gt40
model,19,2,6,2,back-max,,26,0,460,1,0
model,19,2,6,2,tail-max,,20,5,304,1,0
model,19,2,6,3,all-max,,38,3,690,1,0
model,19,2,6,3,victim-max,0,37,0,690,1,0
model,19,2,6,3,others-max,0,37,1,690,1,0
model,19,2,6,3,victim-max,3,37,3,690,1,0
model,19,2,6,3,others-max,3,37,0,690,1,0
model,19,2,6,3,victim-max,5,37,5,690,1,0
model,19,2,6,3,others-max,5,37,0,690,1,0
model,19,2,6,3,front-max,,25,1,436,1,0
model,19,2,6,3,back-max,,26,1,460,1,0
model,19,2,6,3,tail-max,,21,5,304,1,0
model,19,2,6,5,all-max,,38,1,690,1,0
model,19,2,6,5,victim-max,0,37,0,690,1,0
model,19,2,6,5,others-max,0,38,2,690,1,0
model,19,2,6,5,victim-max,3,37,3,690,1,0
model,19,2,6,5,others-max,3,37,0,690,1,0
model,19,2,6,5,victim-max,5,37,5,690,1,0
model,19,2,6,5,others-max,5,37,0,690,1,0
model,19,2,6,5,front-max,,24,0,436,1,0
model,19,2,6,5,back-max,,26,2,460,1,0
model,19,2,6,5,tail-max,,20,5,304,1,0
model,19,2,7,1,all-max,,38,3,690,1,0
model,19,2,7,1,victim-max,0,37,0,690,1,0
model,19,2,7,1,others-max,0,38,5,690,1,0
model,19,2,7,1,victim-max,3,37,3,690,1,0
model,19,2,7,1,others-max,3,38,5,690,1,0
model,19,2,7,1,victim-max,6,37,6,690,1,0
model,19,2,7,1,others-max,6,38,4,690,1,0
model,19,2,7,1,front-max,,25,1,436,1,0
model,19,2,7,1,back-max,,26,3,460,1,0
model,19,2,7,1,tail-max,,22,6,304,1,0
model,19,2,7,2,all-max,,38,0,690,1,0
model,19,2,7,2,victim-max,0,37,0,690,1,0
model,19,2,7,2,others-max,0,38,5,690,1,0
model,19,2,7,2,victim-max,3,37,3,690,1,0
model,19,2,7,2,others-max,3,38,4,690,1,0
model,19,2,7,2,victim-max,6,37,6,690,1,0
model,19,2,7,2,others-max,6,38,4,690,1,0
model,19,2,7,2,front-max,,25,2,436,1,0
model,19,2,7,2,back-max,,26,0,460,1,0
model,19,2,7,2,tail-max,,20,6,304,1,0
model,19,2,7,3,all-max,,38,5,690,1,0
model,19,2,7,3,victim-max,0,37,0,690,1,0
model,19,2,7,3,others-max,0,38,6,690,1,0
model,19,2,7,3,victim-max,3,37,3,690,1,0
model,19,2,7,3,others-max,3,38,4,690,1,0
model,19,2,7,3,victim-max,6,37,6,690,1,0
model,19,2,7,3,others-max,6,37,0,690,1,0
model,19,2,7,3,front-max,,25,2,436,1,0
model,19,2,7,3,back-max,,26,3,460,1,0
model,19,2,7,3,tail-max,,21,6,304,1,0
model,19,2,7,5,all-max,,38,2,690,1,0
model,19,2,7,5,victim-max,0,37,0,690,1,0
model,19,2,7,5,others-max,0,38,4,690,1,0
model,19,2,7,5,victim-max,3,37,3,690,1,0
model,19,2,7,5,others-max,3,38,6,690,1,0
model,19,2,7,5,victim-max,6,37,6,690,1,0
model,19,2,7,5,others-max,6,37,0,690,1,0
model,19,2,7,5,front-max,,24,0,436,1,0
model,19,2,7,5,back-max,,26,3,460,1,0
model,19,2,7,5,tail-max,,20,6,304,1,0
model,19,2,8,1,all-max,,39,5,690,1,0
model,19,2,8,1,victim-max,0,37,0,690,1,0
model,19,2,8,1,others-max,0,38,6,690,1,0
model,19,2,8,1,victim-max,4,37,4,690,1,0
model,19,2,8,1,others-max,4,38,6,690,1,0
model,19,2,8,1,victim-max,7,37,7,690,1,0
model,19,2,8,1,others-max,7,37,0,690,1,0
model,19,2,8,1,front-max,,25,2,436,1,0
model,19,2,8,1,back-max,,26,1,460,1,0
model,19,2,8,1,tail-max,,22,7,304,1,0
model,19,2,8,2,all-max,,38,0,690,1,0
model,19,2,8,2,victim-max,0,37,0,690,1,0
model,19,2,8,2,others-max,0,38,6,690,1,0
model,19,2,8,2,victim-max,4,37,4,690,1,0
model,19,2,8,2,others-max,4,38,6,690,1,0
model,19,2,8,2,victim-max,7,37,7,690,1,0
model,19,2,8,2,others-max,7,38,5,690,1,0
model,19,2,8,2,front-max,,24,0,436,1,0
model,19,2,8,2,back-max,,26,1,460,1,0
model,19,2,8,2,tail-max,,20,7,304,1,0
model,19,2,8,3,all-max,,40,6,690,1,0
model,19,2,8,3,victim-max,0,37,0,690,1,0
model,19,2,8,3,others-max,0,38,5,690,1,0
model,19,2,8,3,victim-max,4,37,4,690,1,0
model,19,2,8,3,others-max,4,38,5,690,1,0
model,19,2,8,3,victim-max,7,37,7,690,1,0
model,19,2,8,3,others-max,7,37,0,690,1,0
model,19,2,8,3,front-max,,25,3,436,1,0
model,19,2,8,3,back-max,,26,3,460,1,0
model,19,2,8,3,tail-max,,21,7,304,1,0
model,19,2,8,5,all-max,,38,3,690,1,0
model,19,2,8,5,victim-max,0,37,0,690,1,0
model,19,2,8,5,others-max,0,38,1,690,1,0
model,19,2,8,5,victim-max,4,37,4,690,1,0
model,19,2,8,5,others-max,4,38,7,690,1,0
model,19,2,8,5,victim-max,7,37,7,690,1,0
model,19,2,8,5,others-max,7,37,0,690,1,0
model,19,2,8,5,front-max,,24,0,436,1,0
model,19,2,8,5,back-max,,27,6,460,1,0
model,19,2,8,5,tail-max,,20,7,304,1,0
model,19,2,9,1,all-max,,38,2,690,1,0
model,19,2,9,1,victim-max,0,37,0,690,1,0
model,19,2,9,1,others-max,0,38,7,690,1,0
model,19,2,9,1,victim-max,4,37,4,690,1,0
model,19,2,9,1,others-max,4,38,6,690,1,0
model,19,2,9,1,victim-max,8,37,8,690,1,0
model,19,2,9,1,others-max,8,38,6,690,1,0
model,19,2,9,1,front-max,,25,0,436,1,0
model,19,2,9,1,back-max,,26,0,460,1,0
model,19,2,9,1,tail-max,,22,8,304,1,0
model,19,2,9,2,all-max,,38,1,690,1,0
model,19,2,9,2,victim-max,0,37,0,690,1,0
model,19,2,9,2,others-max,0,38,7,690,1,0
model,19,2,9,2,victim-max,4,37,4,690,1,0
model,19,2,9,2,others-max,4,38,3,690,1,0
model,19,2,9,2,victim-max,8,37,8,690,1,0
model,19,2,9,2,others-max,8,38,6,690,1,0
model,19,2,9,2,front-max,,24,0,436,1,0
model,19,2,9,2,back-max,,26,1,460,1,0
model,19,2,9,2,tail-max,,20,8,304,1,0
model,19,2,9,3,all-max,,38,2,690,1,0
model,19,2,9,3,victim-max,0,37,0,690,1,0
model,19,2,9,3,others-max,0,38,6,690,1,0
model,19,2,9,3,victim-max,4,37,4,690,1,0
model,19,2,9,3,others-max,4,38,8,690,1,0
model,19,2,9,3,victim-max,8,37,8,690,1,0
model,19,2,9,3,others-max,8,37,0,690,1,0
model,19,2,9,3,front-max,,25,4,436,1,0
model,19,2,9,3,back-max,,26,3,460,1,0
model,19,2,9,3,tail-max,,21,8,304,1,0
model,19,2,9,5,all-max,,39,8,690,1,0
model,19,2,9,5,victim-max,0,37,0,690,1,0
model,19,2,9,5,others-max,0,38,1,690,1,0
model,19,2,9,5,victim-max,4,37,4,690,1,0
model,19,2,9,5,others-max,4,38,6,690,1,0
model,19,2,9,5,victim-max,8,37,8,690,1,0
model,19,2,9,5,others-max,8,37,0,690,1,0
model,19,2,9,5,front-max,,24,0,436,1,0
model,19,2,9,5,back-max,,26,6,460,1,0
model,19,2,9,5,tail-max,,20,8,304,1,0
model,19,2,10,1,all-max,,38,3,690,1,0
model,19,2,10,1,victim-max,0,37,0,690,1,0
model,19,2,10,1,others-max,0,38,8,690,1,0
model,19,2,10,1,victim-max,5,37,5,690,1,0
model,19,2,10,1,others-max,5,38,7,690,1,0
model,19,2,10,1,victim-max,9,37,9,690,1,0
model,19,2,10,1,others-max,9,37,0,690,1,0
model,19,2,10,1,front-max,,25,0,436,1,0
model,19,2,10,1,back-max,,26,0,460,1,0
model,19,2,10,1,tail-max,,22,9,304,1,0
model,19,2,10,2,all-max,,39,8,690,1,0
model,19,2,10,2,victim-max,0,37,0,690,1,0
model,19,2,10,2,others-max,0,38,8,690,1,0
model,19,2,10,2,victim-max,5,37,5,690,1,0
model,19,2,10,2,others-max,5,38,8,690,1,0
model,19,2,10,2,victim-max,9,37,9,690,1,0
model,19,2,10,2,others-max,9,37,0,690,1,0
model,19,2,10,2,front-max,,24,0,436,1,0
model,19,2,10,2,back-max,,26,0,460,1,0
model,19,2,10,2,tail-max,,20,9,304,1,0
model,19,2,10,3,all-max,,38,3,690,1,0
