N,K,regime,finish,slack,auth_span,hidden_len,overflow_len
32,5,paid,1229,166,56,0,56
32,6,paid,1236,159,63,0,63
32,7,rejected,1243,152,70,0,70
32,8,rejected,1250,145,77,0,77
32,9,rejected,1257,138,84,0,84
32,10,rejected,1264,131,91,0,91
32,11,rejected,1271,124,98,0,98
32,12,rejected,1278,117,105,0,105
32,13,rejected,1285,110,112,0,112
32,14,rejected,1292,103,119,0,119
32,15,rejected,1299,96,126,0,126
32,16,rejected,1306,89,133,0,133
32,17,rejected,1313,82,140,0,140
32,18,rejected,1320,75,147,0,147
32,19,rejected,1327,68,154,0,154
32,20,rejected,1334,61,161,0,161
33,0,hidden,1209,186,0,0,0
33,1,paid,1237,158,28,0,28
33,2,paid,1244,151,35,0,35
33,3,paid,1251,144,42,0,42
33,4,paid,1258,137,49,0,49
33,5,paid,1265,130,56,0,56
33,6,rejected,1272,123,63,0,63
33,7,rejected,1279,116,70,0,70
33,8,rejected,1286,109,77,0,77
33,9,rejected,1293,102,84,0,84
33,10,rejected,1300,95,91,0,91
33,11,rejected,1307,88,98,0,98
33,12,rejected,1314,81,105,0,105
33,13,rejected,1321,74,112,0,112
33,14,rejected,1328,67,119,0,119
33,15,rejected,1335,60,126,0,126
33,16,rejected,1342,53,133,0,133
33,17,rejected,1349,46,140,0,140
33,18,rejected,1356,39,147,0,147
33,19,rejected,1363,32,154,0,154
33,20,rejected,1370,25,161,0,161
34,0,hidden,1245,150,0,0,0
34,1,paid,1273,122,28,0,28
34,2,paid,1280,115,35,0,35
34,3,paid,1287,108,42,0,42
34,4,paid,1294,101,49,0,49
34,5,rejected,1301,94,56,0,56
34,6,rejected,1308,87,63,0,63
34,7,rejected,1315,80,70,0,70
34,8,rejected,1322,73,77,0,77
34,9,rejected,1329,66,84,0,84
34,10,rejected,1336,59,91,0,91
34,11,rejected,1343,52,98,0,98
34,12,rejected,1350,45,105,0,105
34,13,rejected,1357,38,112,0,112
34,14,rejected,1364,31,119,0,119
34,15,rejected,1371,24,126,0,126
34,16,rejected,1378,17,133,0,133
34,17,rejected,1385,10,140,0,140
34,18,rejected,1392,3,147,0,147
34,19,rejected,1399,-4,154,0,154
34,20,rejected,1406,-11,161,0,161
35,0,hidden,1281,114,0,0,0
35,1,paid,1309,86,28,0,28
35,2,paid,1316,79,35,0,35
35,3,paid,1323,72,42,0,42
35,4,rejected,1330,65,49,0,49
35,5,rejected,1337,58,56,0,56
35,6,rejected,1344,51,63,0,63
35,7,rejected,1351,44,70,0,70
35,8,rejected,1358,37,77,0,77
35,9,rejected,1365,30,84,0,84
35,10,rejected,1372,23,91,0,91
35,11,rejected,1379,16,98,0,98
35,12,rejected,1386,9,105,0,105
35,13,rejected,1393,2,112,0,112
35,14,rejected,1400,-5,119,0,119
35,15,rejected,1407,-12,126,0,126
35,16,rejected,1414,-19,133,0,133
35,17,rejected,1421,-26,140,0,140
35,18,rejected,1428,-33,147,0,147
35,19,rejected,1435,-40,154,0,154
35,20,rejected,1442,-47,161,0,161
36,0,hidden,1317,78,0,0,0
36,1,paid,1345,50,28,0,28
36,2,paid,1352,43,35,0,35
36,3,rejected,1359,36,42,0,42
36,4,rejected,1366,29,49,0,49
36,5,rejected,1373,22,56,0,56
36,6,rejected,1380,15,63,0,63
36,7,rejected,1387,8,70,0,70
36,8,rejected,1394,1,77,0,77
36,9,rejected,1401,-6,84,0,84
