N,K,IFS,finish_measured,finish_predicted,delta,delta_pred,knee_empirical,knee_predicted
35,4,3,1555,1555,52,52,14,14
35,8,3,1583,1583,80,80,12,12
35,16,3,1639,1639,136,136,9,9
36,0,3,1545,1545,0,0,0,0
36,1,3,1576,1576,31,31,15,15
36,4,3,1597,1597,52,52,14,14
36,8,3,1625,1625,80,80,12,12
36,16,3,1681,1681,136,136,9,9
37,0,3,1587,1587,0,0,0,0
37,1,3,1618,1618,31,31,15,15
37,4,3,1639,1639,52,52,14,14
37,8,3,1667,1667,80,80,12,12
37,16,3,1723,1723,136,136,9,9
38,0,3,1629,1629,0,0,0,0
38,1,3,1660,1660,31,31,15,15
38,4,3,1681,1681,52,52,14,14
38,8,3,1709,1709,80,80,12,12
38,16,3,1765,1765,136,136,9,9
39,0,3,1671,1671,0,0,0,0
39,1,3,1702,1702,31,31,15,15
39,4,3,1723,1723,52,52,14,14
39,8,3,1751,1751,80,80,12,12
39,16,3,1807,1807,136,136,9,9
40,0,3,1713,1713,0,0,0,0
40,1,3,1744,1744,31,31,15,15
40,4,3,1765,1765,52,52,14,14
40,8,3,1793,1793,80,80,12,12
40,16,3,1849,1849,136,136,9,9
